month,hour,day_of_week,dow_total,dow_duration
2022-03,13,Tuesday,15545,0 days 00:11:51.829591508
2022-03,13,Wednesday,14882,0 days 00:11:54.959212471
2022-03,14,Friday,19777,0 days 00:13:27.432168680
2022-03,14,Monday,14769,0 days 00:12:38.658270702
2022-03,14,Saturday,17494,0 days 00:14:21.517777523
2022-03,14,Sunday,18245,0 days 00:14:10.183721567
2022-03,14,Thursday,16021,0 days 00:11:37.897010174
2022-03,14,Tuesday,17932,0 days 00:12:04.218492081
2022-03,14,Wednesday,17242,0 days 00:12:14.327804199
2022-03,15,Friday,21712,0 days 00:13:23.839029108
2022-03,15,Monday,16857,0 days 00:12:36.999110161
2022-03,15,Saturday,18213,0 days 00:14:31.269203316
2022-03,15,Sunday,18744,0 days 00:14:25.670827998
2022-03,15,Thursday,19210,0 days 00:11:43.654086413
2022-03,15,Tuesday,20767,0 days 00:12:12.921895314
2022-03,15,Wednesday,18928,0 days 00:12:19.190828402
2022-03,16,Friday,24903,0 days 00:13:37.011966429
2022-03,16,Monday,18561,0 days 00:12:29.354776143
2022-03,16,Saturday,17159,0 days 00:14:23.658371699
2022-03,16,Sunday,17830,0 days 00:13:56.580650588
2022-03,16,Thursday,22265,0 days 00:11:43.251560745
2022-03,16,Tuesday,24486,0 days 00:12:20.028914481
2022-03,16,Wednesday,21085,0 days 00:12:11.735451742
2022-03,17,Friday,28405,0 days 00:13:18.193733497
2022-03,17,Monday,24538,0 days 00:12:37.409039041
2022-03,17,Saturday,16521,0 days 00:14:18.527813086
2022-03,17,Sunday,16077,0 days 00:13:23.209740623
2022-03,17,Thursday,30199,0 days 00:11:50.013079903
2022-03,17,Tuesday,34393,0 days 00:12:33.714505858
2022-03,17,Wednesday,30004,0 days 00:12:16.352719637
2022-03,18,Friday,25035,0 days 00:13:04.258358298
2022-03,18,Monday,24147,0 days 00:12:26.900567358
2022-03,18,Saturday,15401,0 days 00:13:59.206869683
2022-03,18,Sunday,13486,0 days 00:12:33.007340946
2022-03,18,Thursday,28592,0 days 00:11:35.351531897
2022-03,18,Tuesday,32877,0 days 00:12:15.378015025
2022-03,18,Wednesday,28639,0 days 00:11:45.894689060
2022-03,19,Friday,17516,0 days 00:12:33.882735784
2022-03,19,Monday,16569,0 days 00:11:37.228619711
2022-03,19,Saturday,11793,0 days 00:13:03.795217501
2022-03,19,Sunday,9060,0 days 00:11:44.309161147
2022-03,19,Thursday,19685,0 days 00:11:06.624485648
2022-03,19,Tuesday,22014,0 days 00:11:25.462569274
2022-03,19,Wednesday,20041,0 days 00:11:09.964572626
2022-03,20,Friday,11096,0 days 00:12:16.569304253
2022-03,20,Monday,10389,0 days 00:11:17.534507652
2022-03,20,Saturday,8314,0 days 00:12:53.809838826
2022-03,20,Sunday,6445,0 days 00:11:54.172536850
